Variable name,Description,Measurement unit,Allowed values
timestamp_trigger_4_recording_3,timestamp of introduction recording in the third experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_4_recording_4,timestamp of introduction recording in the forth experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_5_recording_1,timestamp of induction recording in the first experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_5_recording_2,timestamp of induction recording in the second experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_5_recording_3,timestamp of induction recording in the third experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_5_recording_4,timestamp of induction recording in the forth experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_6_recording_1,timestamp of experinece recording in the first experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_6_recording_2,timestamp of experinece recording in the second experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_6_recording_3,timestamp of experinece recording in the third experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_6_recording_4,timestamp of experinece recording in the forth experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_7_recording_1,timestamp of the end of experinece recording in the first experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_7_recording_2,timestamp of the end of experinece recording in the second experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_7_recording_3,timestamp of the end of experinece recording in the third experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_7_recording_4,timestamp of the end of experinece recording in the forth experimental trial,datetime,datetime in ISO 8601 format
trial_type_1,whether the procedure is actually true hypnosis or sham,text,"[true, sham] true if the procedure is a real hypnosis regardless how it is described"
trial_type_2,whether the procedure is actually true hypnosis or sham,text,"[true, sham]"
trial_type_3,whether the procedure is actually true hypnosis or sham,text,"[true, sham]"
trial_type_4,whether the procedure is actually true hypnosis or sham,text,"[true, sham]"
tried_hypnosis_before,If the participant had tried hypnosis before,text,"[Yes, No]"
tried_hypnosis_before_for_pain,if the participant tried hypnosis for pain reduction,text,"[Yes, No]"
unique_id,A unique ID each participant came up with based on a hint provided during the experimet. This ID was used to link data from two experiemental sessions.,text,text
which_real_control,which of the of the procedures described as control does the participant believe to be real hypnosis,text,"['relaxation','confusion',embedded','whitenoise']"
which_real_hypnosis,which of the of the procedures described as real hypnosis does the participant believe to be real,text,"['relaxation','confusion',embedded','whitenoise']"
Timestamp,Date and time when the experimenters completed the report on the session.,,
Experimenter ID,Experimenters' names initials,text,text
Participant ID,The unique numeric code used to store participants data,numeric,numeric
Date of experimental session,The date of the experiement session,datetime,datetime
The start time of experimental session,An estimation of the session's start time in HH:MM:SS XM format,time,time
The end time of experimental session,An estimation of the session's end time in HH:MM:SS XM format,time,time
Number of participants who signed up to participate,the total number of participants who signed up to participate on that particular day,numeric,numeric
Number of participants who actually showed up,the total number of participants who actually showed up on that day,numeric,numeric
Checklist part 1: When the Participants Arrive,A checklist of actions for experimeners to follow when the participants arrived for the session,text,Pre-written bullet text on the checklist 1
Checklist part 2: Before mounting EEG cap,A checklist of actions for experimeners to follow before mounting EEG cap,text,Pre-written bullet text on the checklist 2
Checklist part 3: Before running the experiment _ Explaining the experimental procedure,A checklist of actions for experimeners to follow when the participants arrived at the session,text,Pre-written bullet text on the checklist 3
Checklist part 4: During the experiment _Unexpected events,A list of potential events that could have disrupted the experiment.,text,Pre-written bullet text on the checklist 4
Related to the checklist 4: please provide more explanation of what happened and what was the action taken in response to the issue.,"In the case of unexpected event, experimenter's explanation of what had happened and the action taken in response.",text,free-form text
Checklist part 5: After the experiment,A checklist of actions for experimeners to follow after the experiment was completed,text,Pre-written bullet text on the checklist 5
Did any participant stop their participation in the experiment prematurely (before finishing all experimental trials)?,If the participant drop out from the experiment and did not complete the session.,text,"['Yes', 'No']"
"If YES, please specify the reason for the dropout if known (participants don’t need to provide a reason for leaving if they don’t want to).","In the case of above, the reason the participant stopped their participation",text,free-form text
"When demounting the cap, did you notice any dipole created between channels?",If there was any dipole between EEG channels,text,"['Yes', 'No']"
"If YES, please specify channels' name","Name of channels connected due to gel leakage, if a dipole was observed.",text,free-form text
Notes about the session,Any further note or observations on conducting the session.,text,free-form text
tsz1,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Head fall,numeric,"[0, 1]"
tsz2,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Eye closure,numeric,"[0, 1]"
tsz3,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Hand lowering,numeric,"[0, 1]"
tsz4,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Arm immobilization,numeric,"[0, 1]"
tsz5,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Finger lock,numeric,"[0, 1]"
tsz6,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Arm rigidity,numeric,"[0, 1]"
tsz7,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Hand moving together,numeric,"[0, 1]"
tsz8,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Communication inhibition,numeric,"[0, 1]"
tsz9,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Hallucination,numeric,"[0, 1]"
tsz10,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Eye catalepsy,numeric,"[0, 1]"
tsz11,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Post-hypnotic suggestion - toucing ankle,numeric,"[0, 1]"
tsz12,Wether the person passed the test suggestion in the Harvard Group Scale of Hypnotic Susceptibility: Post-hypnotic suggestion - amnesia,numeric,"[0, 1]"
hypnotizability_total,Total score on the Harvard Group Scale of Hypnotic Susceptibility,numeric,"[0, 12]"
hypnotizability_session_comments,Researcher's notes from the session where the Harvard Group Scale of Hypnotic Susceptibility was conducted,text,free-form text
PLACEHOLDERFORINTERVIEWS,"columns will be added here with data from the interviews with the participants, the interveiws were focused on experiences and beliefs",blank,blank
bids_id,participants IDs in bids dataset,numeric,numeric
CZ_alpha_baseline1,alpha power at the first baseline of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals microvolt squared
CZ_alpha_baseline2,alpha power at the second baseline of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_alpha_experience1,alpha power at the experience section of trial one of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_alpha_experience2,alpha power at the experience section of trial two of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_alpha_experience3,alpha power at the experience section of trial three of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_alpha_experience4,alpha power at the experience section of trial four of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_alpha_induction1,alpha power at the induction section of trial one of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_alpha_induction2,alpha power at the induction section of trial two of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_alpha_induction3,alpha power at the induction section of trial three of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_alpha_induction4,alpha power at the induction section of trial four of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_beta_baseline1,beta power at the first baseline of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_beta_baseline2,beta power at the second baseline of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_beta_experience1,beta power at the experience section of trial one of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_beta_experience2,beta power at the experience section of trial two of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_beta_experience3,beta power at the experience section of trial three of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_beta_experience4,beta power at the experience section of trial four of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_beta_induction1,beta power at the induction section of trial one of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_beta_induction2,beta power at the induction section of trial two of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_beta_induction3,beta power at the induction section of trial three of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_beta_induction4,beta power at the induction section of trial four of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_delta_baseline1,delta power at the first baseline of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_delta_baseline2,delta power at the second baseline of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_delta_experience1,delta power at the experience section of trial one of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_delta_experience2,delta power at the experience section of trial two of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_delta_experience3,delta power at the experience section of trial three of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_delta_experience4,delta power at the experience section of trial four of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_delta_induction1,delta power at the induction section of trial one of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_delta_induction2,delta power at the induction section of trial two of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_delta_induction3,delta power at the induction section of trial three of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_delta_induction4,delta power at the induction section of trial four of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_gamma_baseline1,gamma power at the first baseline of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_gamma_baseline2,gamma power at the second baseline of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_gamma_experience1,gamma power at the experience section of trial one of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_gamma_experience2,gamma power at the experience section of trial two of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_gamma_experience3,gamma power at the experience section of trial three of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_gamma_experience4,gamma power at the experience section of trial four of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_gamma_induction1,gamma power at the induction section of trial one of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_gamma_induction2,gamma power at the induction section of trial two of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_gamma_induction3,gamma power at the induction section of trial three of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_gamma_induction4,gamma power at the induction section of trial four of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_theta_baseline1,theta power at the first baseline of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_theta_baseline2,theta power at the second baseline of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_theta_experience1,theta power at the experience section of trial one of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_theta_experience2,theta power at the experience section of trial two of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_theta_experience3,theta power at the experience section of trial three of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_theta_experience4,theta power at the experience section of trial four of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_theta_induction1,theta power at the induction section of trial one of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_theta_induction2,theta power at the induction section of trial two of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_theta_induction3,theta power at the induction section of trial three of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
CZ_theta_induction4,theta power at the induction section of trial four of the study averaged across central midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_alpha_baseline1,alpha power at the first baseline of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_alpha_baseline2,alpha power at the second baseline of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_alpha_experience1,alpha power at the experience section of trial one of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_alpha_experience2,alpha power at the experience section of trial two of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_alpha_experience3,alpha power at the experience section of trial three of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_alpha_experience4,alpha power at the experience section of trial four of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_alpha_induction1,alpha power at the induction section of trial one of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_alpha_induction2,alpha power at the induction section of trial two of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_alpha_induction3,alpha power at the induction section of trial three of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_alpha_induction4,alpha power at the induction section of trial four of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_beta_baseline1,beta power at the first baseline of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_beta_baseline2,beta power at the second baseline of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_beta_experience1,beta power at the experience section of trial one of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_beta_experience2,beta power at the experience section of trial two of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_beta_experience3,beta power at the experience section of trial three of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_beta_experience4,beta power at the experience section of trial four of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_beta_induction1,beta power at the induction section of trial one of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_beta_induction2,beta power at the induction section of trial two of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_beta_induction3,beta power at the induction section of trial three of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_beta_induction4,beta power at the induction section of trial four of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_delta_baseline1,delta power at the first baseline of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_delta_baseline2,delta power at the second baseline of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_delta_experience1,delta power at the experience section of trial one of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_delta_experience2,delta power at the experience section of trial two of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_delta_experience3,delta power at the experience section of trial three of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_delta_experience4,delta power at the experience section of trial four of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_delta_induction1,delta power at the induction section of trial one of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_delta_induction2,delta power at the induction section of trial two of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_delta_induction3,delta power at the induction section of trial three of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_delta_induction4,delta power at the induction section of trial four of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_gamma_baseline1,gamma power at the first baseline of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_gamma_baseline2,gamma power at the second baseline of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_gamma_experience1,gamma power at the experience section of trial one of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_gamma_experience2,gamma power at the experience section of trial two of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_gamma_experience3,gamma power at the experience section of trial three of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_gamma_experience4,gamma power at the experience section of trial four of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_gamma_induction1,gamma power at the induction section of trial one of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_gamma_induction2,gamma power at the induction section of trial two of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_gamma_induction3,gamma power at the induction section of trial three of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_gamma_induction4,gamma power at the induction section of trial four of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_theta_baseline1,theta power at the first baseline of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_theta_baseline2,theta power at the second baseline of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_theta_experience1,theta power at the experience section of trial one of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_theta_experience2,theta power at the experience section of trial two of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_theta_experience3,theta power at the experience section of trial three of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_theta_experience4,theta power at the experience section of trial four of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
FZ_theta_induction1,theta power at the induction section of trial one of the study averaged across frontal midline channels.,numeric,Absolute power values of eeg signals in microvolt squared
