Variable name,Description,Measurement unit,Allowed values
timestamp_trigger_7_recording_1,timestamp of the end of experinece recording in the first experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_7_recording_2,timestamp of the end of experinece recording in the second experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_7_recording_3,timestamp of the end of experinece recording in the third experimental trial,datetime,datetime in ISO 8601 format
timestamp_trigger_7_recording_4,timestamp of the end of experinece recording in the forth experimental trial,datetime,datetime in ISO 8601 format
trial_type_1,whether the procedure is actually true hypnosis or sham,text,"[true, sham] true if the procedure is a real hypnosis regardless how it is described"
trial_type_2,whether the procedure is actually true hypnosis or sham,text,"[true, sham]"
trial_type_3,whether the procedure is actually true hypnosis or sham,text,"[true, sham]"
trial_type_4,whether the procedure is actually true hypnosis or sham,text,"[true, sham]"
tried_hypnosis_before,If the participant had tried hypnosis before,text,"[Yes, No]"
tried_hypnosis_before_for_pain,if the participant tried hypnosis for pain reduction,text,"[Yes, No]"
unique_id,,,
which_real_control,which of the of the procedures described as control does the participant believe to be real hypnosis,text,"['relaxation','confusion',embedded','whitenoise']"
which_real_hypnosis,which of the of the procedures described as real hypnosis does the participant believe to be real,text,"['relaxation','confusion',embedded','whitenoise']"
Timestamp,,,
Experimenter ID,,,
Participant ID,,,
Date of experimental session,,,
The start time of experimental session,,,
The end time of experimental session,,,
Number of participants who signed up to participate,,,
Number of participants who actually showed up,,,
Checklist part 1: When the Participants Arrive,,,
Checklist part 2: Before mounting EEG cap,,,
Checklist part 3: Before running the experiment _ Explaining the experimental procedure,,,
Checklist part 4: During the experiment _Unexpected events,,,
Related to the checklist 4: please provide more explanation of what happened and what was the action taken in response to the issue.,,,
Checklist part 5: After the experiment,,,
Did any participant stop their participation in the experiment prematurely (before finishing all experimental trials)?,,,
"If YES, please specify the reason for the dropout if known (participants don’t need to provide a reason for leaving if they don’t want to).",,,
"When demounting the cap, did you notice any dipole created between channels?",,,
"If YES, please specify channels' name",,,
Notes about the session,,,
tsz1,,,
tsz2,,,
tsz3,,,
tsz4,,,
tsz5,,,
tsz6,,,
tsz7,,,
tsz8,,,
tsz9,,,
tsz10,,,
tsz11,,,
tsz12,,,
hypnotizability_total,,,
hypnotizability_session_comments,,,
bids_id,participants ids in bids dataset,numeric,numeric
LF_delta_baseline1,delta power at the first baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_baseline2,delta power at the second baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_experience1,delta power at the experience section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_experience2,delta power at the experience section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_experience3,delta power at the experience section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_experience4,delta power at the experience section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_induction1,delta power at the induction section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_induction2,delta power at the induction section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_induction3,delta power at the induction section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_delta_induction4,delta power at the induction section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_baseline1,theta power at the first baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_baseline2,theta power at the second baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_experience1,theta power at the experience section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_experience2,theta power at the experience section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_experience3,theta power at the experience section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_experience4,theta power at the experience section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_induction1,theta power at the induction section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_induction2,theta power at the induction section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_induction3,theta power at the induction section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_theta_induction4,theta power at the induction section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_baseline1,alpha power at the first baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_baseline2,alpha power at the second baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_experience1,alpha power at the experience section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_experience2,alpha power at the experience section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_experience3,alpha power at the experience section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_experience4,alpha power at the experience section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_induction1,alpha power at the induction section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_induction2,alpha power at the induction section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_induction3,alpha power at the induction section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_alpha_induction4,alpha power at the induction section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_baseline1,beta power at the first baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_baseline2,beta power at the second baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_experience1,beta power at the experience section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_experience2,beta power at the experience section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_experience3,beta power at the experience section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_experience4,beta power at the experience section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_induction1,beta power at the induction section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_induction2,beta power at the induction section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_induction3,beta power at the induction section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_beta_induction4,beta power at the induction section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_lowgamma_baseline1,lowgamma power at the first baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_lowgamma_baseline2,lowgamma power at the second baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_lowgamma_experience1,lowgamma power at the experience section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_lowgamma_experience2,lowgamma power at the experience section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_lowgamma_experience3,lowgamma power at the experience section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_lowgamma_experience4,lowgamma power at the experience section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_lowgamma_induction1,lowgamma power at the induction section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_lowgamma_induction2,lowgamma power at the induction section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_lowgamma_induction3,lowgamma power at the induction section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_lowgamma_induction4,lowgamma power at the induction section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_broadband_baseline1,broadband power at the first baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_broadband_baseline2,broadband power at the second baseline of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_broadband_experience1,broadband power at the experience section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_broadband_experience2,broadband power at the experience section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_broadband_experience3,broadband power at the experience section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_broadband_experience4,broadband power at the experience section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_broadband_induction1,broadband power at the induction section of trial one of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_broadband_induction2,broadband power at the induction section of trial two of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_broadband_induction3,broadband power at the induction section of trial three of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LF_broadband_induction4,broadband power at the induction section of trial four of the study averaged across left frontal channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_baseline1,delta power at the first baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_baseline2,delta power at the second baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_experience1,delta power at the experience section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_experience2,delta power at the experience section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_experience3,delta power at the experience section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_experience4,delta power at the experience section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_induction1,delta power at the induction section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_induction2,delta power at the induction section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_induction3,delta power at the induction section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_delta_induction4,delta power at the induction section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_baseline1,theta power at the first baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_baseline2,theta power at the second baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_experience1,theta power at the experience section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_experience2,theta power at the experience section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_experience3,theta power at the experience section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_experience4,theta power at the experience section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_induction1,theta power at the induction section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_induction2,theta power at the induction section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_induction3,theta power at the induction section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_theta_induction4,theta power at the induction section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_alpha_baseline1,alpha power at the first baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_alpha_baseline2,alpha power at the second baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_alpha_experience1,alpha power at the experience section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_alpha_experience2,alpha power at the experience section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_alpha_experience3,alpha power at the experience section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_alpha_experience4,alpha power at the experience section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_alpha_induction1,alpha power at the induction section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_alpha_induction2,alpha power at the induction section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_alpha_induction3,alpha power at the induction section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_alpha_induction4,alpha power at the induction section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_beta_baseline1,beta power at the first baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_beta_baseline2,beta power at the second baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_beta_experience1,beta power at the experience section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_beta_experience2,beta power at the experience section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_beta_experience3,beta power at the experience section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_beta_experience4,beta power at the experience section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_beta_induction1,beta power at the induction section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_beta_induction2,beta power at the induction section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_beta_induction3,beta power at the induction section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_beta_induction4,beta power at the induction section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_lowgamma_baseline1,lowgamma power at the first baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_lowgamma_baseline2,lowgamma power at the second baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_lowgamma_experience1,lowgamma power at the experience section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_lowgamma_experience2,lowgamma power at the experience section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_lowgamma_experience3,lowgamma power at the experience section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_lowgamma_experience4,lowgamma power at the experience section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_lowgamma_induction1,lowgamma power at the induction section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_lowgamma_induction2,lowgamma power at the induction section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_lowgamma_induction3,lowgamma power at the induction section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_lowgamma_induction4,lowgamma power at the induction section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_broadband_baseline1,broadband power at the first baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_broadband_baseline2,broadband power at the second baseline of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_broadband_experience1,broadband power at the experience section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_broadband_experience2,broadband power at the experience section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_broadband_experience3,broadband power at the experience section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_broadband_experience4,broadband power at the experience section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_broadband_induction1,broadband power at the induction section of trial one of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_broadband_induction2,broadband power at the induction section of trial two of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_broadband_induction3,broadband power at the induction section of trial three of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LC_broadband_induction4,broadband power at the induction section of trial four of the study averaged across left central channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_baseline1,delta power at the first baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_baseline2,delta power at the second baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_experience1,delta power at the experience section of trial one of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_experience2,delta power at the experience section of trial two of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_experience3,delta power at the experience section of trial three of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_experience4,delta power at the experience section of trial four of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_induction1,delta power at the induction section of trial one of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_induction2,delta power at the induction section of trial two of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_induction3,delta power at the induction section of trial three of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_delta_induction4,delta power at the induction section of trial four of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_baseline1,theta power at the first baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_baseline2,theta power at the second baseline of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_experience1,theta power at the experience section of trial one of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_experience2,theta power at the experience section of trial two of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
LP_theta_experience3,theta power at the experience section of trial three of the study averaged across left parietal channels.,numeric,Absolute power values of eeg signals in microvolts
