"ID","expectancy","trial_type","procedure_type","description_type"
"ID_36",0.363248784248933,"sham","whitenoise","control"
"ID_36",5.16845429210143,"sham","embedded","hypnosis"
"ID_36",3.14711121876244,"true","confusion","control"
"ID_36",4.76137850091095,"true","relaxation","hypnosis"
"ID_37",-0.695888160232791,"sham","embedded","control"
"ID_37",5.51955010689734,"sham","whitenoise","hypnosis"
"ID_37",1.18589979628461,"true","relaxation","control"
"ID_37",6.59148550853179,"true","confusion","hypnosis"
"ID_38",2.25887610594636,"sham","whitenoise","control"
"ID_38",5.72387881726148,"sham","embedded","hypnosis"
"ID_38",3.40665447469345,"true","confusion","control"
"ID_38",5.32457492744748,"true","relaxation","hypnosis"
"ID_39",3.11227583357287,"sham","embedded","control"
"ID_39",8.28573771073343,"sham","whitenoise","hypnosis"
"ID_39",2.14499512494716,"true","relaxation","control"
"ID_39",7.40942013322885,"true","confusion","hypnosis"
"ID_40",1.70445902562599,"sham","whitenoise","control"
"ID_40",7.11996451027133,"sham","embedded","hypnosis"
"ID_40",2.28737339675865,"true","confusion","control"
"ID_40",7.40051074705721,"true","relaxation","hypnosis"
"ID_41",1.53661876595113,"sham","embedded","control"
"ID_41",5.99754037370864,"sham","whitenoise","hypnosis"
"ID_41",-1.04975096860321,"true","relaxation","control"
"ID_41",6.16927821737312,"true","confusion","hypnosis"
"ID_42",1.2147906994937,"sham","whitenoise","control"
"ID_42",2.01092986151892,"sham","embedded","hypnosis"
"ID_42",3.11341015965005,"true","confusion","control"
"ID_42",2.31088548358589,"true","relaxation","hypnosis"
"ID_43",1.41828925243304,"sham","embedded","control"
"ID_43",8.12334105988609,"sham","whitenoise","hypnosis"
"ID_43",-0.275094774778243,"true","relaxation","control"
"ID_43",5.74788157860726,"true","confusion","hypnosis"
"ID_44",4.4638965683668,"sham","whitenoise","control"
"ID_44",4.02609019831589,"sham","embedded","hypnosis"
"ID_44",3.47586077405077,"true","confusion","control"
"ID_44",5.69912285351363,"true","relaxation","hypnosis"
"ID_45",0.556348813106657,"sham","embedded","control"
"ID_45",7.83531476209304,"sham","whitenoise","hypnosis"
"ID_45",0.257876190327878,"true","relaxation","control"
"ID_45",6.62511038116299,"true","confusion","hypnosis"
"ID_46",-0.132864748070002,"sham","whitenoise","control"
"ID_46",2.71978706886912,"sham","embedded","hypnosis"
"ID_46",2.58323498794267,"true","confusion","control"
"ID_46",4.3169303079297,"true","relaxation","hypnosis"
"ID_47",4.49489801302083,"sham","embedded","control"
"ID_47",4.39606293823966,"sham","whitenoise","hypnosis"
"ID_47",1.32553423064594,"true","relaxation","control"
"ID_47",6.26901551054842,"true","confusion","hypnosis"
"ID_48",2.80670257486739,"sham","whitenoise","control"
"ID_48",6.45574729110721,"sham","embedded","hypnosis"
"ID_48",3.01351707959661,"true","confusion","control"
"ID_48",6.90679908233068,"true","relaxation","hypnosis"
"ID_49",0.151404986871321,"sham","embedded","control"
"ID_49",0.977061996405194,"sham","whitenoise","hypnosis"
"ID_49",0.230225461722338,"true","relaxation","control"
"ID_49",2.32159755413774,"true","confusion","hypnosis"
"ID_50",2.27264273429167,"sham","whitenoise","control"
"ID_50",3.95747978290896,"sham","embedded","hypnosis"
"ID_50",-0.717944786976035,"true","confusion","control"
"ID_50",2.8908485856653,"true","relaxation","hypnosis"
"ID_51",-0.18525832896133,"sham","embedded","control"
"ID_51",8.45570383032141,"sham","whitenoise","hypnosis"
"ID_51",0.34174559020256,"true","relaxation","control"
"ID_51",8.60139209458242,"true","confusion","hypnosis"
"ID_52",3.10873526164507,"sham","whitenoise","control"
"ID_52",5.26075727389707,"sham","embedded","hypnosis"
"ID_52",2.54925105412379,"true","confusion","control"
"ID_52",3.18056709188408,"true","relaxation","hypnosis"
